TIME_PERIOD#es;TIME_PERIOD_CODE;SEXO#es;SEXO_CODE;ACCIDENTE_GRAVEDAD#es;ACCIDENTE_GRAVEDAD_CODE;TIPO_TRABAJO#es;TIPO_TRABAJO_CODE;TRABAJO_HABITUAL#es;TRABAJO_HABITUAL_CODE;OBS_VALUE;CONFIDENCIALIDAD_OBSERVACION#es;NOTAS_OBSERVACION#es;ESTADO_OBSERVACION#es
2003;2003;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;175;;;
2003;2003;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;10115;;;
2003;2003;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;10290;;;
2004;2004;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;81;;;
2004;2004;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;9060;;;
2004;2004;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;9141;;;
2005;2005;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;83;;;
2005;2005;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;9089;;;
2005;2005;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;9172;;;
2006;2006;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;85;;;
2006;2006;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;9080;;;
2006;2006;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;9165;;;
2007;2007;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;86;;;
2007;2007;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;8216;;;
2007;2007;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;8302;;;
2008;2008;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;63;;;
2008;2008;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;5449;;;
2008;2008;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;5512;;;
2009;2009;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;52;;;
2009;2009;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;3042;;;
2009;2009;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;3094;;;
2010;2010;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;32;;;
2010;2010;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;2299;;;
2010;2010;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;2331;;;
2011;2011;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;30;;;
2011;2011;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1783;;;
2011;2011;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1813;;;
2012;2012;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;19;;;
2012;2012;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1143;;;
2012;2012;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1162;;;
2013;2013;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;9;;;
2013;2013;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;831;;;
2013;2013;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;840;;;
2014;2014;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;8;;;
2014;2014;Hombres;M;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1018;;;
2014;2014;Total;_T;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;1026;;;
2015;2015;Mujeres;F;Total;_T;Labores movimiento tierras, construcción, mantenimiento, demolición;2;Sí;SI;27;;;
